anonId,printer,count,classes
job-3340393ca5,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-3340393ca5,LG-640,2,CANCELED
job-3340393ca5,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6f10572c9b,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-8febd03540,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6894faf5b7,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-e91154e9eb,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6894faf5b7,LG-640,4,CANCELED
job-e91154e9eb,LG-640,4,CANCELED
job-3340393ca5,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-8febd03540,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-3340393ca5,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6894faf5b7,LG-640,4,CANCELED
job-e91154e9eb,LG-640,4,CANCELED;LG640_CMYK_ONLY
job-8febd03540,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6894faf5b7,LG-640,2,CANCELED
job-e91154e9eb,LG-640,2,CANCELED
job-8febd03540,LG-640,2,CANCELED
job-24c62045c6,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-6894faf5b7,LG-640,4,CANCELED
job-e91154e9eb,LG-640,4,CANCELED
job-8febd03540,LG-640,4,CANCELED
job-24c62045c6,LG-640,4,CANCELED;DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-350bb89581,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-12597301a7,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-443b710bd3,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-f353058a2d,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-f353058a2d,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-f353058a2d,LG-640,4,CANCELED
job-eb93ce9f85,LG-640,4,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-7c87c39145,LG-640,8,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-4ac6558311,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-4ac6558311,LG-640,3,OTHER_EVENT:New Job(Queue A)
job-4ac6558311,LG-640,2,CANCELED;LG640_CMYK_ONLY
job-4ac6558311,LG-640,2,CANCELED;LG640_CMYK_ONLY
job-a1b8d488cc,LG-640,2,DUPLICATE_SUMMARY;LG640_GLOSS_ONLY
job-1ed2bc419c,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-617962c6d0,LG-640,4,OTHER_EVENT:New Job(Queue A)
job-767256d3e1,LG-640,2,OTHER_EVENT:New Job(Queue A)
job-241e8809fe,LG-640,2,OTHER_EVENT:New Job(Queue A)
